"","currency","year","rate"
"1","EUR","2017","1.116526"
"2","EUR","2016","1.106903"
"3","EUR","2015","1.109513"
"4","EUR","2014","1.328501"
"5","EUR","2013","1.328118"
"6","EUR","2012","1.284789"
"7","EUR","2011","1.391930"
"8","EUR","2010","1.325695"
"9","EUR","2009","1.394759"
"10","EUR","2008","1.470755"
"11","EUR","2007","1.370478"
"12","EUR","2006","1.255623"
"13","EUR","2005","1.244114"
"14","EUR","2004","1.243943"
"15","EUR","2003","1.131148"
"16","EUR","2002","0.945574"
"17","EUR","2001","0.895571"
"18","EUR","2000","0.923612"
"19","EUR","1999","1.065929"
"20","EUR","1998","1.114781"
"21","EUR","1997","1.131451"
"22","EUR","1996","1.290422"
"23","EUR","1995","1.332457"
"24","EUR","1994","1.201994"
"25","EUR","1993","1.184672"
"26","EUR","1992","1.301715"
"27","EUR","1991","1.236353"
"28","EUR","1990","1.271003"
"29","EUR","1989","1.091950"
"30","EUR","1988","1.169898"
"31","EUR","1987","1.148627"
"32","EUR","1986","0.972087"
"33","EUR","1985","0.738132"
"34","EUR","1984","0.764744"
"35","EUR","1983","0.863673"
"36","EUR","1982","0.943923"
"37","EUR","1981","1.072767"
"38","EUR","1980","1.351982"
"39","EUR","1979","1.346609"
"40","EUR","1978","1.257050"
"41","EUR","1977","1.123231"
"42","EUR","1976","1.092055"
"43","EUR","1975","1.194235"
"44","EUR","1974","1.131471"
"45","EUR","1973","1.165681"
"46","EUR","1972","1.040447"
"47","EUR","1971","0.963878"
"48","EUR","1970","0.941126"
"49","EUR","1969","0.937533"
"50","EUR","1968","0.946667"
"51","EUR","1967","0.962686"
"52","EUR","1966","0.963365"
"53","EUR","1965","0.964932"
"54","EUR","1964","0.965735"
"55","EUR","1963","0.966156"
"56","EUR","1962","0.966116"
"57","EUR","1961","0.963781"
"58","EUR","1960","0.952619"
"59","EUR","1959","0.951933"
"60","EUR","1958","0.990864"
"61","EUR","1957","1.023928"
"62","EUR","1956","1.045891"
"63","EUR","1955","1.048005"
"64","EUR","1954","1.048667"
"65","EUR","1953","1.047586"
"66","GBP","2017","1.277212"
"67","GBP","2016","1.355038"
"68","GBP","2015","1.528752"
"69","GBP","2014","1.647662"
"70","GBP","2013","1.564303"
"71","GBP","2012","1.584468"
"72","GBP","2011","1.603508"
"73","GBP","2010","1.545204"
"74","GBP","2009","1.566862"
"75","GBP","2008","1.853828"
"76","GBP","2007","2.002112"
"77","GBP","2006","1.842388"
"78","GBP","2005","1.819175"
"79","GBP","2004","1.832652"
"80","GBP","2003","1.634318"
"81","GBP","2002","1.502859"
"82","GBP","2001","1.440011"
"83","GBP","2000","1.515057"
"84","GBP","1999","1.617883"
"85","GBP","1998","1.657141"
"86","GBP","1997","1.638459"
"87","GBP","1996","1.561770"
"88","GBP","1995","1.578250"
"89","GBP","1994","1.531964"
"90","GBP","1993","1.502084"
"91","GBP","1992","1.765442"
"92","GBP","1991","1.768200"
"93","GBP","1990","1.784813"
"94","GBP","1989","1.639118"
"95","GBP","1988","1.781502"
"96","GBP","1987","1.639944"
"97","GBP","1986","1.467383"
"98","GBP","1985","1.297344"
"99","GBP","1984","1.336469"
"100","GBP","1983","1.516119"
"101","GBP","1982","1.749069"
"102","GBP","1981","2.026220"
"103","GBP","1980","2.326539"
"104","GBP","1979","2.122187"
"105","GBP","1978","1.919571"
"106","GBP","1977","1.746281"
"107","GBP","1976","1.805345"
"108","GBP","1975","2.220237"
"109","GBP","1974","2.340455"
"110","GBP","1973","2.453381"
"111","GBP","1972","2.502432"
"112","GBP","1971","2.444626"
"113","GBP","1970","2.395951"
"114","GBP","1969","2.390364"
"115","GBP","1968","2.393758"
"116","GBP","1967","2.746584"
"117","GBP","1966","2.793006"
"118","GBP","1965","2.795818"
"119","GBP","1964","2.792113"
"120","GBP","1963","2.800025"
"121","GBP","1962","2.807751"
"122","GBP","1961","2.802205"
"123","GBP","1960","2.807589"
"124","GBP","1959","2.808799"
"125","GBP","1958","2.794818"
"126","GBP","1957","2.792700"
"127","GBP","1956","2.785776"
